Uniq Id,Crawl Timestamp,Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
3bcb8d95fed9d1ed5200b08eaf0bac2e,2019-08-05 07:21:58 +0000, Senior Front End Developer, Not Disclosed by Recruiter ,1 - 3 yrs, Backend| PHP| HTML| Front end| html5| Analytical| Automation tools| Information technology management| Management| angularjs,Programming & Design,"Bengaluru,Pune","IT Software - eCommerce , Internet Technologies","Internet, Ecommerce",Software Developer
37b49e54088816c45b984152a3324b9d,2019-07-04 17:43:34 +0000, Senior Graphic Designer, Not Disclosed by Recruiter ,2 - 5 yrs, Banners| Photoshop| Indesign| Brochures| Illustrator| Adobe Premiere Pro| Quark Express| Graphic Designing| Graphics| HTML,Creative,Pune,"Design , Creative , User Experience","KPO, Research, Analytics",Graphic Designer
b4570b6a97c3f5698d0d2eb54d35e852,2019-07-04 20:02:20 +0000, Senior HR Executive," 2,00,000 - 4,00,000 PA. ",4 - 9 yrs, Attendance| HR MIS| Time Office| Employee Welfare| Bonus| Leave| LWF| Statutory Compliance| Senior HR| Manufacturing| Recruitment,Administration/Facility Management,Gurgaon,"HR , Recruitment , Administration , IR","Textiles, Garments, Accessories",Executive/ Sr Executive - Administration
aa3f11b286102a6b5c0d1ff0b23ccd89,2019-08-05 11:04:20 +0000, Senior Java Developer, Not Disclosed by Recruiter ,6 - 9 yrs, Angularjs| Hibernate| jsp| Spring| Core Java| java| struts| j2ee| J2Se| ejb| jsf| Framework| Web Services,Programming & Design,Delhi NCR,IT Software - System Programming,"IT-Software, Software Services",Software Developer
f121e8d6e3b9667489df1580a00bc2d1,2019-08-05 19:57:41 +0000, Senior Manager, Not Disclosed by Recruiter ,7 - 10 yrs, Administration| Sales| Operational risk| Compliance| Legal| product life cycle| Management| Technology operations| Auditing,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Team Lead/Technical Lead
41aea23ae97a072793fa163bf052b53a,2019-07-06 06:41:16 +0000, Senior Manager, Not Disclosed by Recruiter ,5 - 10 yrs, Automation| Troubleshooting| SDLC| Project management| Techno functional| Manager Technology| Management| Testing| Banking| UAT,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Team Lead/Technical Lead
af552caa715030f756dcacddd96e9470,2019-07-06 11:08:03 +0000, Senior Manager Finance, Not Disclosed by Recruiter ,3 - 6 yrs, Auditing| MIS| Budgeting| Financial analysis| Variance analysis| Cash flow| Revenue assurance| Fund raising| Budgetary control| Analytics,Finance/Audit,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Advertising, PR, MR, Event Management",Financial Analyst
a6900d55a9d806217d005b4b01f02cf4,2019-08-05 11:39:38 +0000, Senior Officer, Not Disclosed by Recruiter ,4 - 9 yrs, Automation| MIS| Data analytics| Change management| Analytical| Customer service| MS Office| IFRS| Capacity planning| Process management,Voice,Chennai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical)
24b9ae6382a9726ac612c74f2db8dd5c,2019-08-05 23:08:05 +0000, Senior Officer, Not Disclosed by Recruiter ,2 - 7 yrs, Automation| Process mapping| Operational risk| TLM| Reconciliation| Banking| Money laundering| Retail branch banking| Transaction processing| SLAS,Treasury,Chennai,"Financial Services , Banking , Investments , Insurance","Education, Teaching, Training",Back Office Executive
c03d1aa60a679b37c2c21b0617368271,2019-07-04 08:20:13 +0000, Senior Practitioner - Finance and Administration Delivery, Not Disclosed by Recruiter ,2 - 5 yrs, Accounting| Accounts Receivable| Cash Applications| O2C| Finance| MS Office| Journal Entries| Service Level| Change Management| Client Servicing,Accounts,Gurgaon,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant
3ef55e8dde9310b83f9e59ee68edce62,2019-08-05 09:03:24 +0000, Senior Process Executive," 2,00,000 - 4,50,000 PA. ",1 - 4 yrs, Bpo Voice| International BPO| International Voice Process,Voice,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
c0a3b87c5ee69b589a60ac93b55faa74,2019-08-05 23:15:44 +0000, Senior QA Engineer, Not Disclosed by Recruiter ,2 - 7 yrs, Automation| Linux| Coding| Functional testing| Debugging| Javascript| Performance testing| Agile| Selenium| Ruby,Programming & Design,Hyderabad,IT Software - QA & Testing,"Education, Teaching, Training",Software Developer
d8491a63d1fc1f088e2981e7bd1fbce9,2019-07-06 02:39:50 +0000, Senior Sales Manager, Not Disclosed by Recruiter ,4 - 5 yrs, Account management| Analytical skills| Project sales| Lead generation| Revenue generation| Research,Corporate Sales,"Hyderabad,Bhopal,Chennai,Kolkata","Sales , Retail , Business Development","Oil and Gas, Energy, Power, Infrastructure",Sales/Business Development Manager
c65d3c9d00fcf0f051339cd2d3146039,2019-08-04 07:16:39 +0000, Senior Salesforce Developer," 17,00,000 - 25,00,000 PA. ",6 - 11 yrs, Angularjs| Java| CSS| Html5| Javascript| HTML| JQuery| Apex| Grunt| Visualforce,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
0d79185922f40bf41c91e56fc42eaca9,2019-07-07 00:27:27 +0000, Senior Scientist, Not Disclosed by Recruiter ,2 - 5 yrs, Banking| Taxation,R&D,Delhi,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","BPO, Call Centre, ITeS",Research Scientist
a42145012dbf65a07ac12a357f8e7fb3,2019-07-04 08:53:31 +0000, Senior Software Engineer, Not Disclosed by Recruiter ,2 - 4 yrs, Automation Testing| Selenium| Functional Testing| Test Planning| Test Lead| Test Cases| Test Scenarios| Front End| Software Engineering| QA| System Integration Testing| User Acceptance Testing,Programming & Design,Hyderabad,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
4fa82dea531c4651be42f88e8c8a73de,2019-08-05 15:36:29 +0000, Senior Software Engineer, Not Disclosed by Recruiter ,4 - 9 yrs, Automation| jQuery| Javascript| rest| development| MVVM| software| SPA| testing| developing| specification| Unit testing| CSS3| quality| web| Application development| html| MVC| api| Application| architecture,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
ac1cee6683ea91abcfc29a40a71c45c6,2019-07-06 13:49:26 +0000, Senior Software Engineer, Not Disclosed by Recruiter ,2 - 7 yrs, Automation| Python| Data structures| Web development| System administration| Django| Labour| Programming| Web technologies,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer
7bdbeffba6eb43683b8da21edf38482e,2019-08-05 13:19:42 +0000, Senior Software Engineer, Not Disclosed by Recruiter ,3 - 5 yrs, Backend| Algorithms| Senior| MySQL| Software| J2Ee| Python,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer
5f82638fbea4c54767e16e4455ba4852,2019-08-06 06:18:56 +0000, Senior Software Engineer - .Net, Not Disclosed by Recruiter ,2 - 3 yrs, assembly language| server| C| technical| analytical| Senior Software Engineer| ado.net| HTML| sql| database| JavaScript| design| asp.net| .Net| .NET| mvc| Oracle| net| programming| Python| c#| testing| specification| it| SQL| Six Sigma| PMP| .net,Programming & Design,Delhi,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
bdfc7351c4f1507cc9866a8b59a6a8ba,2019-08-06 06:19:10 +0000, Senior Software Engineer - PHP, Not Disclosed by Recruiter ,2 - 3 yrs, assembly language| C| technical| analytical| software| Senior Software Engineer| cms| HTML| ajax| database| JavaScript| design| PHP| .NET| mvc| Oracle| programming| Python| magento| specification| it| SQL| Six Sigma| PMP| php,Programming & Design,Delhi,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
ce030ddd388707aaea2bf75db43976e5,2019-07-06 20:14:41 +0000, senior software Engineer/ Team Lead, Not Disclosed by Recruiter ,2 - 5 yrs, assembly language| website| C| HTML| ajax| javascript| jquery| SQL| xhtml| Team Lead| Six Sigma| PMP| senior software Engineer| xml| linux| .NET| Oracle| Python,Programming & Design,Delhi,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
